unidad,var_x,var_y,pearson_r,pearson_p,spearman_rho,spearman_p,n,spearman_p_fdr,sig_tras_fdr
Localidad,densidad_homicidios_km2,deficit_aseo_percapita,-0.069,0.77111,0.125,0.60007,20,0.69122,False
Localidad,densidad_homicidios_km2,cestas_por_1000hab,0.073,0.75918,-0.17,0.47385,20,0.59069,False
Localidad,densidad_homicidios_km2,puntos_criticos_por_100milhab,0.592,0.00593,0.586,0.00657,20,0.01758,True
Localidad,densidad_homicidios_km2,homicidios_por_100milhab,0.483,0.03107,0.405,0.07688,20,0.1272,False
Localidad,densidad_homicidios_km2,densidad_poblacional_hab_km2,0.579,0.0075,0.762,9e-05,20,0.00063,True
Localidad,densidad_incidentes_km2,dist_estacion_bomberos_m,-0.537,0.01464,-0.71,0.00046,20,0.00199,True
Localidad,densidad_incidentes_km2,deficit_aseo_percapita,-0.575,0.00798,-0.574,0.00807,20,0.01933,True
Localidad,densidad_incidentes_km2,cestas_por_1000hab,0.559,0.01043,0.534,0.01534,20,0.03173,True
Localidad,densidad_incidentes_km2,puntos_criticos_por_100milhab,0.54,0.01395,0.373,0.10535,20,0.16819,False
Localidad,densidad_incidentes_km2,homicidios_por_100milhab,-0.204,0.38942,-0.197,0.40515,20,0.53147,False
Localidad,densidad_incidentes_km2,densidad_poblacional_hab_km2,0.468,0.03748,0.558,0.01059,20,0.02294,True
Localidad,dist_estacion_bomberos_m,deficit_aseo_percapita,0.247,0.2943,0.202,0.39426,20,0.52761,False
Localidad,dist_estacion_bomberos_m,cestas_por_1000hab,-0.215,0.36154,-0.192,0.41621,20,0.53345,False
Localidad,dist_estacion_bomberos_m,puntos_criticos_por_100milhab,-0.371,0.10776,-0.526,0.01713,20,0.03464,True
Localidad,dist_estacion_bomberos_m,homicidios_por_100milhab,0.343,0.13904,0.012,0.95985,20,0.97051,False
Localidad,dist_estacion_bomberos_m,densidad_poblacional_hab_km2,-0.431,0.05765,-0.591,0.00607,20,0.01674,True
