year,upz_id,upz_nombre,localidad_id,localidad_nombre,pct_stratum_1_2,cestas,cestas_per_km2,containers,containers_per_km2,sweeping_route_coverage,critical_points,critical_points_per_km2,emergencies,emergencies_per_km2
2019,18,Britalia,11,SUBA,2.7210884353741496,946,288.07,309,94.1,76.9,2,0.61,483.0,147.08
2019,26,Las Ferias,10,ENGATIVA,0.0,635,134.26,203,42.92,100.0,13,2.75,798.0,168.72
2019,48,Timiza,08,KENNEDY,36.835278858625166,663,154.15,280,65.1,14.1,12,2.79,361.0,83.93
2019,13,Los Cedros,01,USAQUEN,2.0114942528735633,1120,166.74,60,8.93,44.9,0,0.0,849.0,126.39
2019,70,Jerusalem,19,CIUDAD BOLIVAR,100.0,301,56.05,282,52.51,27.3,6,1.12,272.0,50.65
2019,35,Ciudad Jardin,15,ANTONIO NARINO,17.105263157894736,511,383.84,5,3.76,37.8,3,2.25,112.0,84.13
2019,38,Restrepo,15,ANTONIO NARINO,0.0,1395,393.59,16,4.51,35.8,15,4.23,836.0,235.87
2019,115,Capellania,09,FONTIBON,0.0,563,207.07,21,7.72,14.0,6,2.21,103.0,37.88
2019,50,La Gloria,04,SAN CRISTOBAL,100.0,206,53.43,3,0.78,68.3,15,3.89,557.0,144.47
2019,20,La Alhambra,11,SUBA,0.0,1293,454.4,285,100.16,97.1,0,0.0,180.0,63.26
2019,79,Calandaima,08,KENNEDY,96.26168224299066,368,115.48,148,46.44,16.6,6,1.88,111.0,34.83
2019,61,Ciudad Usme,05,USME,100.0,132,14.27,0,0.0,9.8,1,0.11,183.0,19.79
2019,12,Toberin,01,USAQUEN,3.5175879396984926,1707,587.75,9,3.1,61.6,2,0.69,234.0,80.57
2019,10,La Uribe,01,USAQUEN,25.0,365,105.8,7,2.03,21.9,1,0.29,166.0,48.12
2019,59,Alfonso Lopez,05,USME,100.0,235,108.64,22,10.17,65.7,0,0.0,78.0,36.06
2019,58,Comuneros,05,USME,100.0,481,97.64,6,1.22,51.0,3,0.61,355.0,72.06
2019,43,San Rafael,16,PUENTE ARANDA,0.0,457,138.88,5,1.52,36.5,1,0.3,374.0,113.66
2019,47,Kennedy Central,08,KENNEDY,0.0,1633,484.66,139,41.25,12.4,2,0.59,709.0,210.42
2019,36,San Jose,18,RAFAEL URIBE URIBE,3.4934497816593884,746,359.03,31,14.92,33.6,5,2.41,230.0,110.69
2019,66,San Francisco,19,CIUDAD BOLIVAR,100.0,180,100.86,2,1.12,50.7,7,3.92,444.0,248.8
2019,57,Gran Yomasa,05,USME,100.0,861,160.82,207,38.66,60.1,5,0.93,678.0,126.64
2019,52,La Flora,05,USME,100.0,20,10.66,0,0.0,59.8,0,0.0,108.0,57.58
2019,11,San Cristobal Norte,01,USAQUEN,35.0,291,105.8,4,1.45,59.8,1,0.36,266.0,96.71
2019,14,Usaquen,01,USAQUEN,14.035087719298245,697,141.58,0,0.0,37.3,0,0.0,431.0,87.55
2019,73,Garces Navas,10,ENGATIVA,27.172582619339046,927,167.15,680,122.61,100.0,9,1.62,762.0,137.4
2019,74,Engativa,10,ENGATIVA,99.84447900466563,102,17.37,373,63.53,100.0,10,1.7,340.0,57.9
2019,104,Parque Simon Bolivar - Can,13,TEUSAQUILLO,0.0,1028,258.05,31,7.78,12.9,0,0.0,190.0,47.69
2019,31,Santa Cecilia,10,ENGATIVA,0.0,682,221.19,195,63.24,100.0,2,0.65,238.0,77.19
2019,68,El Tesoro,19,CIUDAD BOLIVAR,100.0,119,56.48,5,2.37,43.0,3,1.42,236.0,112.01
2019,64,Monte Blanco,19,CIUDAD BOLIVAR,100.0,10,1.44,0,0.0,2.2,0,0.0,5.0,0.72
2019,71,Tibabuyes,11,SUBA,95.06302521008404,360,49.6,525,72.33,68.9,17,2.34,529.0,72.89
2019,29,Minuto De Dios,10,ENGATIVA,33.76623376623377,838,224.68,705,189.02,100.0,6,1.61,364.0,97.59
2019,76,Fontibon San Pablo,09,FONTIBON,70.92511013215858,137,38.09,17,4.73,4.6,5,1.39,149.0,41.43
2019,3,Guaymaral,11,SUBA,0.0,2,0.44,34,7.5,9.2,0,0.0,95.0,20.96
2019,80,Corabastos,08,KENNEDY,99.41176470588235,64,34.71,10,5.42,10.6,8,4.34,134.0,72.68
2019,67,Lucero,19,CIUDAD BOLIVAR,100.0,216,36.87,6,1.02,44.7,10,1.71,535.0,91.31
2019,63,El Mochuelo,19,CIUDAD BOLIVAR,100.0,31,9.8,0,0.0,2.7,0,0.0,39.0,12.32
2019,28,El Rincon,11,SUBA,71.73738991192954,740,104.3,515,72.58,88.2,11,1.55,747.0,105.28
2019,30,Boyaca Real,10,ENGATIVA,0.0,772,170.26,469,103.44,100.0,11,2.43,437.0,96.38
2019,116,Alamos,10,ENGATIVA,8.0,417,208.42,103,51.48,100.0,4,2.0,91.0,45.48
2019,85,Bosa Central,07,BOSA,100.0,953,133.46,21,2.94,39.1,23,3.22,766.0,107.27
2019,42,Venecia,06,TUNJUELITO,61.050724637681164,717,108.09,152,22.92,25.0,5,0.75,707.0,106.59
2019,111,Puente Aranda,16,PUENTE ARANDA,1.4492753623188406,547,153.58,97,27.23,20.4,1,0.28,380.0,106.69
